Date,Description,Category,Amount,Type,clean_description
02-01-2020,Score each.,Food & Drink,1485.69,Expense,score
02-01-2020,Quality throughout.,Utilities,1475.58,Expense,quality throughout
04-01-2020,Instead ahead despite measure ago.,Rent,1185.08,Expense,instead ahead despite measure ago
05-01-2020,Information last everything thank serve.,Investment,2291,Income,information last everything thank serve
13-01-2020,Future choice whatever from.,Food & Drink,1126.88,Expense,future choice whatever
14-01-2020,Benefit suggest page southern.,Shopping,448.68,Expense,benefit suggest page southern
18-01-2020,By two bad fall pick.,Food & Drink,1520.03,Expense,two bad fall pick
19-01-2020,Court attorney product significant world.,Other,3287,Income,court attorney product significant world
21-01-2020,Herself law.,Entertainment,1914.85,Expense,law
25-01-2020,Have decide environment.,Rent,766.06,Expense,decide environment
25-01-2020,Play move each left establish.,Health & Fitness,1211.41,Expense,play move left establish
26-01-2020,Range successful simply.,Salary,1077.09,Expense,range successful simply
29-01-2020,Source husband.,Shopping,166.81,Expense,source husband
30-01-2020,Tree note responsibility.,Health & Fitness,1158.93,Expense,tree note responsibility
31-01-2020,How trip learn enter.,Food & Drink,1325.91,Expense,trip learn enter
31-01-2020,Much section investment on gun.,Rent,1712.08,Expense,much section investment gun
31-01-2020,Management sense technology check civil.,Shopping,563.17,Expense,management sense technology check civil
02-02-2020,As high you more wife.,Health & Fitness,333.68,Expense,high wife
04-02-2020,Race mr.,Travel,1406.62,Expense,race
05-02-2020,Born itself law west.,Rent,1222.17,Expense,born law west
05-02-2020,Seven medical blood personal.,Investment,1838,Income,seven medical blood personal
07-02-2020,Current hear claim well two.,Travel,1979.15,Expense,current hear claim well two
07-02-2020,Food affect upon these story.,Entertainment,1372.38,Expense,food affect upon story
08-02-2020,Around there water.,Food & Drink,465.81,Expense,around water
08-02-2020,Staff within mouth call.,Other,3786,Income,staff within mouth call
09-02-2020,Close month parent who up.,Entertainment,1827.14,Expense,close month parent
11-02-2020,Human public health.,Health & Fitness,433.13,Expense,human public health
13-02-2020,Building different full open.,Salary,294.31,Expense,building different full open
15-02-2020,Detail audience piece director town.,Other,4009,Income,detail audience piece director town
16-02-2020,Method everything.,Shopping,730.37,Expense,method everything
16-02-2020,Much rich think.,Utilities,1023.96,Expense,much rich think
18-02-2020,Drug list imagine behind.,Investment,1398,Income,drug list imagine behind
19-02-2020,Interest level rock pull.,Investment,3958,Income,interest level rock pull
20-02-2020,I fund.,Shopping,769.42,Expense,fund
26-02-2020,Court movie cell.,Travel,1942.45,Expense,court movie cell
27-02-2020,Leg themselves away.,Food & Drink,1363.76,Expense,leg away
28-02-2020,Anything yourself.,Other,3286,Income,anything
28-02-2020,Unit support.,Other,1795,Income,unit support
29-02-2020,Magazine degree husband around.,Travel,1944.06,Expense,magazine degree husband around
03-03-2020,World enter.,Rent,1742.33,Expense,world enter
04-03-2020,Institution whatever yet.,Entertainment,314.15,Expense,institution whatever yet
04-03-2020,Choice father why often.,Food & Drink,1201.9,Expense,choice father often
09-03-2020,Security arm.,Rent,1858.91,Expense,security arm
09-03-2020,Me system church whether.,Travel,486.51,Expense,system church whether
11-03-2020,Attention attack technology.,Rent,180.45,Expense,attention attack technology
11-03-2020,Walk now often.,Rent,1956.19,Expense,walk often
12-03-2020,Bank price north first end.,Utilities,265.5,Expense,price north first end
12-03-2020,Enter capital population.,Utilities,537.46,Expense,enter capital population
14-03-2020,Upon very act perform.,Shopping,1929.08,Expense,upon act perform
15-03-2020,Available defense.,Entertainment,1428.77,Expense,available defense
18-03-2020,Value thing these.,Health & Fitness,881.82,Expense,value thing
21-03-2020,Citizen street region.,Rent,503.33,Expense,citizen street region
23-03-2020,Property never.,Investment,2385,Income,property never
23-03-2020,Enough threat score.,Food & Drink,151.28,Expense,enough threat score
24-03-2020,Example decision garden.,Entertainment,144.13,Expense,example decision garden
28-03-2020,Major town suffer begin.,Other,1080,Income,major town suffer begin
01-04-2020,Analysis four capital.,Travel,1341.27,Expense,analysis four capital
05-04-2020,Scientist necessary into.,Utilities,1449.47,Expense,scientist necessary
06-04-2020,Away third.,Salary,493.56,Expense,away third
06-04-2020,Along hard need involve among.,Shopping,388.92,Expense,along hard need involve among
10-04-2020,Together decide.,Other,3402,Income,together decide
17-04-2020,Government nice.,Salary,1729.04,Expense,government nice
17-04-2020,See understand door class son.,Investment,996,Income,see understand door class son
18-04-2020,Agent say forward us.,Health & Fitness,1603.18,Expense,agent say forward
22-04-2020,City red him.,Investment,2058,Income,city red
23-04-2020,Develop staff least figure.,Utilities,849.54,Expense,develop staff least figure
25-04-2020,Age cover foreign.,Entertainment,1750.23,Expense,age cover foreign
26-04-2020,Go meeting quickly.,Investment,914,Income,meeting quickly
26-04-2020,Voice boy wife condition.,Food & Drink,1938.3,Expense,voice boy wife condition
27-04-2020,Board its.,Entertainment,340.96,Expense,board
27-04-2020,Paper memory history office.,Entertainment,1730.65,Expense,paper memory history office
29-04-2020,Remember ability.,Utilities,764.16,Expense,remember ability
